origen,destino,distancia_km,fuente
Paris,Londres,465,Dato referencial
Paris,Bruselas,312,Dato referencial
Paris,Frankfurt,570,Dato referencial
Paris,Zurich,660,Dato referencial
Londres,Bruselas,373,Dato referencial
Londres,Amsterdam,540,Dato referencial
Bruselas,Amsterdam,209,Dato referencial
Bruselas,Frankfurt,398,Dato referencial
Amsterdam,Berlin,656,Dato referencial
Amsterdam,Frankfurt,440,Dato referencial
Frankfurt,Berlin,545,Dato referencial
Frankfurt,Munich,394,Dato referencial
Frankfurt,Zurich,409,Dato referencial
Berlin,Munich,585,Dato referencial
Berlin,Praga,350,Dato referencial
Praga,Munich,380,Dato referencial
Praga,Viena,333,Dato referencial
Munich,Zurich,315,Dato referencial
Munich,Viena,435,Dato referencial
Zurich,Milan,280,Dato referencial
Milan,Venecia,270,Dato referencial
Milan,Munich,490,Dato referencial
Venecia,Ljubljana,240,Dato referencial
Venecia,Viena,615,Dato referencial
Ljubljana,Zagreb,140,Dato referencial
Zagreb,Budapest,344,Dato referencial
Budapest,Viena,243,Dato referencial
